
2018-10-11 17:11 @realDonaldTrump Those fake headlines and not been specific to which countries growth will be slow is what's also causing the US market selloff. The all want to slow the US economy and gains
2018-10-11 15:44 This is Trump’s economy now. He fired a superlative Fed Chair - which is something not typically done - to bring in a mediocre white man. He has brought isolationist policies last seen before the Great Depression. Make no mistake - TRUMP owns this! 
2018-10-11 13:20 rise in Dow Jones average from Inauguration to Oct 11 of second year in office: Trump 26% Obama 38%
2018-10-11 17:19 Hey MrCruz,do you still think Trumps good with economey since stock market drop it balls again,Fords Fired couple and lost few Million..So if you believe thats Winning , love to know how much better Texas economy be doing without you prob alot..
2018-10-11 17:18 @realDonaldTrump put a drunken judge on #SCOTUS because #POTUS needed more independent power in his office. #BlueWave has been energized. New #Congress is going to investigate everything & truth will come out. His tax returns #RussiaGate #GOP collusion all will be bad for economy
